Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm
s.lin.t.37.2.011-011	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	0	2	1	77.3	1.86	0.1196	1.92	0.0047	2.38	0.0000	0.7496	-0.323	-0.474	-0.429	0.5554	0.0488	-1.0000
d.lin.t.34.2.100-111	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	2	1	94.4	2.28	0.0407	2.69	0.0690	2.78	0.0455	0.8301	-0.128	-0.073	-0.190	0.3769	0.5068	0.3867
d.lin.c.47.2.111-100	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	2	1	110.2	1.57	0.0338	2.53	0.1327	2.61	0.1402	0.8923	-0.457	-0.156	-0.292	0.3461	0.6183	0.5720
d.lin.c.47.2.111-001	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	2	1	89.1	1.67	0.1430	2.18	0.0186	2.52	0.1560	0.8068	-0.411	-0.339	-0.345	0.5850	0.2833	0.5895
s.lin.c.44.2.101-011	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	2	1	84.9	1.84	0.0812	2.02	0.0210	2.40	0.0001	0.7874	-0.332	-0.422	-0.417	0.4913	0.3040	-0.6209
s.lin.c.47.2.101-110	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	2	1	96.6	2.13	0.0025	2.16	0.0226	3.01	0.0275	0.8393	-0.197	-0.349	-0.054	-0.0853	0.3165	0.3038
s.lin.c.47.2.101-101	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	2	1	93.7	1.96	0.0174	2.07	0.0269	2.56	0.0397	0.8271	-0.276	-0.396	-0.321	0.2361	0.3462	0.3642
s.lin.c.44.2.011-101	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	2	1	84.9	1.84	0.0812	2.02	0.0210	2.40	0.0001	0.7874	-0.332	-0.422	-0.417	0.4913	0.3040	-0.6209
s.lin.c.44.2.011-011	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	2	1	76.4	1.73	0.1715	1.93	0.0000	2.38	0.0003	0.7449	-0.383	-0.469	-0.429	0.6151	-1.0000	-0.4400
s.lin.c.47.2.011-101	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	2	1	85.1	1.83	0.0966	1.96	0.0203	2.42	0.0008	0.7883	-0.336	-0.453	-0.405	0.5200	0.2982	-0.2786
s.lin.c.47.2.011-011	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	2	1	76.1	1.77	0.1483	1.94	0.0062	2.36	0.0005	0.7433	-0.364	-0.464	-0.440	0.5910	0.0961	-0.3559
d.lin.t.37.2.100-111	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	2	1	92.0	2.16	0.0501	2.61	0.1236	2.75	0.0323	0.8197	-0.183	-0.115	-0.208	0.4113	0.6062	0.3303
