Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	AIQM_E_rel	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm	AIQM_E_rel_norm
d.lin.c.33.3.111-111	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	3	0	76.7	2.46	0.0004	2.47	0.0000	2.69	0.0344	74.6	-0.1608	-0.044	-0.188	-0.244	-0.3889	-1.0000	0.3407	0.0485
z.cyc.23.43.2.010-111	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	2	2	0	79.6	1.16	0.0075	2.17	0.0337	2.40	0.4292	62.8	-0.1291	-0.647	-0.344	-0.417	0.0967	0.3846	0.7562	-0.1178
s.cyc.23.43.2.011-101	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	1	0	2	0	80.0	1.42	0.0139	1.84	0.0795	2.48	0.0000	65.0	-0.1247	-0.527	-0.516	-0.369	0.1989	0.5310	-1.0000	-0.0867
z.cyc.23.43.2.111-010	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	1	2	2	0	80.1	1.11	0.0170	2.19	0.0053	2.46	0.1648	67.4	-0.1236	-0.671	-0.333	-0.381	0.2322	0.0693	0.5986	-0.0531
s.cyc.12.71.2.x11-x11	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	2	0	80.2	1.59	0.0139	1.81	0.1318	2.51	0.0000	62.1	-0.1225	-0.448	-0.531	-0.351	0.1989	0.6171	-1.0000	-0.1283
s.cyc.34.67.2.101-11x	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	2	0	81.0	1.79	0.0136	2.09	0.0526	2.80	0.0417	63.2	-0.1138	-0.355	-0.385	-0.179	0.1953	0.4605	0.3723	-0.1130
s.cyc.12.43.2.x11-101	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	2	0	81.2	1.71	0.1425	2.11	0.0023	2.51	0.0000	65.9	-0.1116	-0.392	-0.375	-0.351	0.5844	-0.0730	-1.0000	-0.0747
s.cyc.34.67.2.011-11x	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	2	0	82.0	1.36	0.0415	1.76	0.0350	2.53	0.0002	67.3	-0.1028	-0.555	-0.557	-0.339	0.3801	0.3911	-0.5068	-0.0540
s.cyc.23.43.2.011-110	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	0	2	0	82.5	1.44	0.1064	2.17	0.0237	2.27	0.0297	64.3	-0.0974	-0.517	-0.344	-0.494	0.5360	0.3246	0.3165	-0.0966
s.cyc.23.34.2.101-110	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	2	0	82.8	1.56	0.0616	2.10	0.0222	2.60	0.0623	64.8	-0.0941	-0.462	-0.380	-0.298	0.4455	0.3135	0.4384	-0.0897
s.cyc.34.54.2.110-1x1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	2	0	82.8	1.09	0.0278	1.92	0.0636	2.95	0.0188	54.5	-0.0941	-0.680	-0.474	-0.089	0.3137	0.4929	0.2412	-0.2349
s.cyc.23.34.2.011-110	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	2	0	83.2	1.30	0.0862	1.75	0.0015	2.30	0.0232	64.6	-0.0897	-0.582	-0.563	-0.476	0.5012	-0.1459	0.2758	-0.0931
s.cyc.23.43.2.101-110	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	1	0	2	0	83.4	1.54	0.0534	2.06	0.1066	2.91	0.0119	67.6	-0.0875	-0.471	-0.401	-0.113	0.4218	0.5810	0.1659	-0.0507
d.cyc.34.67.2.111-10x	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	2	0	84.1	1.51	0.0409	2.11	0.2173	2.36	0.0272	65.6	-0.0799	-0.485	-0.375	-0.440	0.3777	0.7024	0.3020	-0.0789
d.lin.t.34.3.111-111	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	3	0	81.6	2.45	0.0001	2.78	0.0597	2.86	0.0008	73.4	-0.1072	-0.049	-0.026	-0.143	-0.6186	0.4821	-0.2786	0.0308
d.lin.c.34.3.111-111	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1	3	0	82.4	2.46	0.0005	2.72	0.0385	2.87	0.0034	74.5	-0.0985	-0.044	-0.057	-0.137	-0.3519	0.4073	-0.0404	0.0466
s.cyc.12.34.2.x11-101	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	2	0	86.0	1.74	0.1551	1.83	0.0348	2.50	0.0000	67.1	-0.0591	-0.378	-0.521	-0.357	0.5985	0.3901	-1.0000	-0.0571
